event_id,content
E17,A widely shared article about an Arabic calligraphy assignment in Augusta County forced administrators to close the school due to alarming calls and e-mails.
E18,"West Richland Police Captain Ben Majetich said that a Circle K employee's refusal to serve a police officer stemmed from a recent, separate incident."
E23,"A sheriff in Carter County, Oklahoma issued a public letter urging citizens to arm themselves following a mass shooting in San Bernardino, California."
E24,"Facebook users can receive a coupon for 40 percent off a purchase at Kroger by ""liking"" and ""sharing"" a status."
E25,Jews are more often the victims of hate crimes than Muslims in the United States.
E28,An FBI field agent quietly warned a Missouri sheriff's department that a propane bomb attack is expected around Christmas.
E30,A photograph shows a chemtrail switch on a plane.
E31,"ABC Family aired ""Christian content warnings"" before ""A Charlie Brown Christmas."""
E34,Pope Francis uploaded a selfie to the Vatican's Instagram account.
E37,New York State Judge Carolyn Walker-Diallo is Muslim and was sworn into office using a Quran.
E39,"PS 169 Principal Eujin Jaela Kim banned the Pledge of Allegiance, Santa, and Thanksgiving."
E42,A judge has called for the FBI and U.S. Marshals to arrest the President.
E48,"California has banned a popular type of ammunition, the .45 ACP."
E59,Jimmy Carter said that medical marijuana cured his cancer.
E62,There have been more than 1.1 million gun-related deaths in the U.S. since John Lennon was killed on 8 December 1980.
E63,"Long Island Railroad (LIRR)?crew and police discovered a terrorist ""dry run"" on a train out of Penn Station."
E65,"A photograph shows a ""crisis actor"" pretending to be shot on the floor of a grocery store."
E70,"City officials created a ""crossing guard burqa"" uniform in order to avoid a discrimination lawsuit."
E71,"In late 2015, multiple web sites posted articles about an article titled ""On the Reception and Detection of Pseudo-Profound Bullshit,"" [PDF] published in the journal?Judgment and Decision Making on 6 November 2015."
E72,"On 30 November 2015 ABC aired the retrospective ""It's Your 50th Christmas, Charlie Brown!,"" featuring performances from celebrities?and a brief clip of President Obama and the First Lady praising the animated classic"
E73,"A credible law enforcement source warned Bernardino residents?""it's not over"" after a 2 December 2015 shooting, adding?future attacks are expected."
